Sample Name	Extraction Round	Extraction Date	Month-year
Mmus_C57-6T_LVR_BSL_LAR_Rep1_B2	E_Liver	10/29/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep2_B4	E_Liver	10/29/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep3_B5	D_Liver	10/26/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep4_B10	D_Liver	10/26/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep5_B6	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep6_B7	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep7_B8	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep8_B9	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep9_B1	A_Liver	8/2/2018	Aug_2018
Mmus_C57-6T_LVR_BSL_LAR_Rep10_B3	A_Liver	8/2/2018	Aug_2018
Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	E_Liver	10/29/2018	Oct_2018
Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	D_Liver	10/26/2018	Oct_2018
Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	D_Liver	10/26/2018	Oct_2018
Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_GC_LAR_Rep6_G8	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_GC_LAR_Rep7_G9	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_GC_LAR_Rep8_G2	A_Liver	8/2/2018	Aug_2018
Mmus_C57-6T_LVR_GC_LAR_Rep9_G3	A_Liver	8/2/2018	Aug_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	E_Liver	10/29/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	E_Liver	10/29/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	E_Liver	10/29/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	D_Liver	10/26/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	D_Liver	10/26/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	D_Liver	10/26/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	C_Liver	10/24/2018	Oct_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	A_Liver	8/2/2018	Aug_2018
Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	B_Liver	8/9/2018	Aug_2018
Mmus_C57-6T_LVR_BSL_ISS-T_Rep1_B1	E_Liver	10/29/2018	Oct_2018
