,ensemble_gene_id
0,ENSMUSG00000000001
1,ENSMUSG00000000028
2,ENSMUSG00000000031
3,ENSMUSG00000000037
4,ENSMUSG00000000049
5,ENSMUSG00000000056
6,ENSMUSG00000000058
7,ENSMUSG00000000078
8,ENSMUSG00000000085
9,ENSMUSG00000000088
10,ENSMUSG00000000093
11,ENSMUSG00000000120
12,ENSMUSG00000000126
13,ENSMUSG00000000127
14,ENSMUSG00000000131
15,ENSMUSG00000000134
16,ENSMUSG00000000142
17,ENSMUSG00000000148
18,ENSMUSG00000000149
19,ENSMUSG00000000154
20,ENSMUSG00000000159
21,ENSMUSG00000000167
22,ENSMUSG00000000168
23,ENSMUSG00000000171
24,ENSMUSG00000000184
25,ENSMUSG00000000194
26,ENSMUSG00000000197
27,ENSMUSG00000000204
28,ENSMUSG00000000223
29,ENSMUSG00000000244
30,ENSMUSG00000000247
31,ENSMUSG00000000253
32,ENSMUSG00000000266
33,ENSMUSG00000000275
34,ENSMUSG00000000276
35,ENSMUSG00000000278
36,ENSMUSG00000000282
37,ENSMUSG00000000290
38,ENSMUSG00000000295
39,ENSMUSG00000000296
40,ENSMUSG00000000301
41,ENSMUSG00000000303
42,ENSMUSG00000000305
43,ENSMUSG00000000308
44,ENSMUSG00000000317
45,ENSMUSG00000000318
46,ENSMUSG00000000320
47,ENSMUSG00000000326
48,ENSMUSG00000000339
49,ENSMUSG00000000340
50,ENSMUSG00000000346
51,ENSMUSG00000000355
52,ENSMUSG00000000359
53,ENSMUSG00000000365
54,ENSMUSG00000000374
55,ENSMUSG00000000378
56,ENSMUSG00000000384
57,ENSMUSG00000000385
58,ENSMUSG00000000392
59,ENSMUSG00000000399
60,ENSMUSG00000000402
61,ENSMUSG00000000409
62,ENSMUSG00000000416
63,ENSMUSG00000000420
64,ENSMUSG00000000439
65,ENSMUSG00000000440
66,ENSMUSG00000000441
67,ENSMUSG00000000486
68,ENSMUSG00000000489
69,ENSMUSG00000000530
70,ENSMUSG00000000531
71,ENSMUSG00000000532
72,ENSMUSG00000000538
73,ENSMUSG00000000552
74,ENSMUSG00000000555
75,ENSMUSG00000000561
76,ENSMUSG00000000563
77,ENSMUSG00000000567
78,ENSMUSG00000000568
79,ENSMUSG00000000579
80,ENSMUSG00000000581
81,ENSMUSG00000000594
82,ENSMUSG00000000600
83,ENSMUSG00000000605
84,ENSMUSG00000000628
85,ENSMUSG00000000631
86,ENSMUSG00000000673
87,ENSMUSG00000000682
88,ENSMUSG00000000686
89,ENSMUSG00000000693
90,ENSMUSG00000000708
91,ENSMUSG00000000711
92,ENSMUSG00000000732
93,ENSMUSG00000000738
94,ENSMUSG00000000739
95,ENSMUSG00000000740
96,ENSMUSG00000000743
97,ENSMUSG00000000751
98,ENSMUSG00000000753
99,ENSMUSG00000000759
100,ENSMUSG00000000776
101,ENSMUSG00000000782
102,ENSMUSG00000000787
103,ENSMUSG00000000791
104,ENSMUSG00000000794
105,ENSMUSG00000000804
106,ENSMUSG00000000811
107,ENSMUSG00000000817
108,ENSMUSG00000000823
109,ENSMUSG00000000826
110,ENSMUSG00000000827
111,ENSMUSG00000000838
112,ENSMUSG00000000861
113,ENSMUSG00000000876
114,ENSMUSG00000000881
115,ENSMUSG00000000884
116,ENSMUSG00000000901
117,ENSMUSG00000000902
118,ENSMUSG00000000903
119,ENSMUSG00000000915
120,ENSMUSG00000000916
121,ENSMUSG00000000934
122,ENSMUSG00000000942
123,ENSMUSG00000000948
124,ENSMUSG00000000957
125,ENSMUSG00000000958
126,ENSMUSG00000000959
127,ENSMUSG00000000976
128,ENSMUSG00000000982
129,ENSMUSG00000001014
130,ENSMUSG00000001016
131,ENSMUSG00000001017
132,ENSMUSG00000001018
133,ENSMUSG00000001020
134,ENSMUSG00000001025
135,ENSMUSG00000001027
136,ENSMUSG00000001029
137,ENSMUSG00000001034
138,ENSMUSG00000001036
139,ENSMUSG00000001039
140,ENSMUSG00000001052
141,ENSMUSG00000001053
142,ENSMUSG00000001054
143,ENSMUSG00000001056
144,ENSMUSG00000001062
145,ENSMUSG00000001065
146,ENSMUSG00000001082
147,ENSMUSG00000001089
148,ENSMUSG00000001095
149,ENSMUSG00000001098
150,ENSMUSG00000001100
151,ENSMUSG00000001103
152,ENSMUSG00000001105
153,ENSMUSG00000001119
154,ENSMUSG00000001120
155,ENSMUSG00000001123
156,ENSMUSG00000001127
157,ENSMUSG00000001128
158,ENSMUSG00000001131
159,ENSMUSG00000001134
160,ENSMUSG00000001138
161,ENSMUSG00000001143
162,ENSMUSG00000001150
163,ENSMUSG00000001151
164,ENSMUSG00000001155
165,ENSMUSG00000001156
166,ENSMUSG00000001157
167,ENSMUSG00000001158
168,ENSMUSG00000001166
169,ENSMUSG00000001173
170,ENSMUSG00000001175
171,ENSMUSG00000001211
172,ENSMUSG00000001225
173,ENSMUSG00000001227
174,ENSMUSG00000001228
175,ENSMUSG00000001229
176,ENSMUSG00000001240
177,ENSMUSG00000001247
178,ENSMUSG00000001248
179,ENSMUSG00000001249
180,ENSMUSG00000001270
181,ENSMUSG00000001280
182,ENSMUSG00000001281
183,ENSMUSG00000001285
184,ENSMUSG00000001288
185,ENSMUSG00000001289
186,ENSMUSG00000001300
187,ENSMUSG00000001305
188,ENSMUSG00000001313
189,ENSMUSG00000001323
190,ENSMUSG00000001334
191,ENSMUSG00000001348
192,ENSMUSG00000001349
193,ENSMUSG00000001366
194,ENSMUSG00000001376
195,ENSMUSG00000001380
196,ENSMUSG00000001383
197,ENSMUSG00000001403
198,ENSMUSG00000001415
199,ENSMUSG00000001416
200,ENSMUSG00000001418
201,ENSMUSG00000001419
202,ENSMUSG00000001420
203,ENSMUSG00000001424
204,ENSMUSG00000001435
205,ENSMUSG00000001436
206,ENSMUSG00000001440
207,ENSMUSG00000001441
208,ENSMUSG00000001444
209,ENSMUSG00000001445
210,ENSMUSG00000001467
211,ENSMUSG00000001472
212,ENSMUSG00000001473
213,ENSMUSG00000001482
214,ENSMUSG00000001493
215,ENSMUSG00000001506
216,ENSMUSG00000001507
217,ENSMUSG00000001517
218,ENSMUSG00000001518
219,ENSMUSG00000001521
220,ENSMUSG00000001524
221,ENSMUSG00000001525
222,ENSMUSG00000001542
223,ENSMUSG00000001552
224,ENSMUSG00000001555
225,ENSMUSG00000001569
226,ENSMUSG00000001576
227,ENSMUSG00000001583
228,ENSMUSG00000001588
229,ENSMUSG00000001604
230,ENSMUSG00000001627
231,ENSMUSG00000001630
232,ENSMUSG00000001632
233,ENSMUSG00000001642
234,ENSMUSG00000001663
235,ENSMUSG00000001665
236,ENSMUSG00000001666
237,ENSMUSG00000001670
238,ENSMUSG00000001672
239,ENSMUSG00000001674
240,ENSMUSG00000001687
241,ENSMUSG00000001700
242,ENSMUSG00000001707
243,ENSMUSG00000001729
244,ENSMUSG00000001739
245,ENSMUSG00000001741
246,ENSMUSG00000001750
247,ENSMUSG00000001751
248,ENSMUSG00000001755
249,ENSMUSG00000001761
250,ENSMUSG00000001763
251,ENSMUSG00000001767
252,ENSMUSG00000001768
253,ENSMUSG00000001774
254,ENSMUSG00000001783
255,ENSMUSG00000001785
256,ENSMUSG00000001786
257,ENSMUSG00000001794
258,ENSMUSG00000001802
259,ENSMUSG00000001829
260,ENSMUSG00000001833
261,ENSMUSG00000001844
262,ENSMUSG00000001847
263,ENSMUSG00000001855
264,ENSMUSG00000001864
265,ENSMUSG00000001865
266,ENSMUSG00000001870
267,ENSMUSG00000001891
268,ENSMUSG00000001909
269,ENSMUSG00000001910
270,ENSMUSG00000001911
271,ENSMUSG00000001918
272,ENSMUSG00000001924
273,ENSMUSG00000001930
274,ENSMUSG00000001942
275,ENSMUSG00000001943
276,ENSMUSG00000001946
277,ENSMUSG00000001948
278,ENSMUSG00000001962
279,ENSMUSG00000001964
280,ENSMUSG00000001983
281,ENSMUSG00000001985
282,ENSMUSG00000001986
283,ENSMUSG00000001995
284,ENSMUSG00000001998
285,ENSMUSG00000001999
286,ENSMUSG00000002006
287,ENSMUSG00000002007
288,ENSMUSG00000002010
289,ENSMUSG00000002014
290,ENSMUSG00000002015
291,ENSMUSG00000002017
292,ENSMUSG00000002020
293,ENSMUSG00000002028
294,ENSMUSG00000002031
295,ENSMUSG00000002032
296,ENSMUSG00000002033
297,ENSMUSG00000002043
298,ENSMUSG00000002052
299,ENSMUSG00000002055
300,ENSMUSG00000002058
301,ENSMUSG00000002059
302,ENSMUSG00000002064
