,ensemble_gene_id
303,ENSMUSG00000002068
304,ENSMUSG00000002076
305,ENSMUSG00000002083
306,ENSMUSG00000002102
307,ENSMUSG00000002103
308,ENSMUSG00000002105
309,ENSMUSG00000002107
310,ENSMUSG00000002108
311,ENSMUSG00000002109
312,ENSMUSG00000002111
313,ENSMUSG00000002129
314,ENSMUSG00000002147
315,ENSMUSG00000002204
316,ENSMUSG00000002205
317,ENSMUSG00000002210
318,ENSMUSG00000002221
319,ENSMUSG00000002222
320,ENSMUSG00000002227
321,ENSMUSG00000002228
322,ENSMUSG00000002233
323,ENSMUSG00000002249
324,ENSMUSG00000002250
325,ENSMUSG00000002257
326,ENSMUSG00000002265
327,ENSMUSG00000002266
328,ENSMUSG00000002274
329,ENSMUSG00000002279
330,ENSMUSG00000002280
331,ENSMUSG00000002289
332,ENSMUSG00000002297
333,ENSMUSG00000002307
334,ENSMUSG00000002308
335,ENSMUSG00000002319
336,ENSMUSG00000002320
337,ENSMUSG00000002324
338,ENSMUSG00000002325
339,ENSMUSG00000002326
340,ENSMUSG00000002329
341,ENSMUSG00000002332
342,ENSMUSG00000002342
343,ENSMUSG00000002343
344,ENSMUSG00000002345
345,ENSMUSG00000002346
346,ENSMUSG00000002365
347,ENSMUSG00000002372
348,ENSMUSG00000002379
349,ENSMUSG00000002393
350,ENSMUSG00000002395
351,ENSMUSG00000002396
352,ENSMUSG00000002409
353,ENSMUSG00000002413
354,ENSMUSG00000002416
355,ENSMUSG00000002428
356,ENSMUSG00000002455
357,ENSMUSG00000002458
358,ENSMUSG00000002475
359,ENSMUSG00000002477
360,ENSMUSG00000002486
361,ENSMUSG00000002489
362,ENSMUSG00000002496
363,ENSMUSG00000002504
364,ENSMUSG00000002524
365,ENSMUSG00000002546
366,ENSMUSG00000002550
367,ENSMUSG00000002578
368,ENSMUSG00000002580
369,ENSMUSG00000002588
370,ENSMUSG00000002602
371,ENSMUSG00000002603
372,ENSMUSG00000002608
373,ENSMUSG00000002617
374,ENSMUSG00000002625
375,ENSMUSG00000002633
376,ENSMUSG00000002635
377,ENSMUSG00000002658
378,ENSMUSG00000002660
379,ENSMUSG00000002661
380,ENSMUSG00000002668
381,ENSMUSG00000002679
382,ENSMUSG00000002688
383,ENSMUSG00000002699
384,ENSMUSG00000002718
385,ENSMUSG00000002728
386,ENSMUSG00000002731
387,ENSMUSG00000002732
388,ENSMUSG00000002733
389,ENSMUSG00000002741
390,ENSMUSG00000002748
391,ENSMUSG00000002763
392,ENSMUSG00000002767
393,ENSMUSG00000002768
394,ENSMUSG00000002769
395,ENSMUSG00000002771
396,ENSMUSG00000002778
397,ENSMUSG00000002781
398,ENSMUSG00000002797
399,ENSMUSG00000002799
400,ENSMUSG00000002803
401,ENSMUSG00000002804
402,ENSMUSG00000002808
403,ENSMUSG00000002812
404,ENSMUSG00000002814
405,ENSMUSG00000002820
406,ENSMUSG00000002825
407,ENSMUSG00000002831
408,ENSMUSG00000002833
409,ENSMUSG00000002835
410,ENSMUSG00000002844
411,ENSMUSG00000002845
412,ENSMUSG00000002846
413,ENSMUSG00000002847
414,ENSMUSG00000002870
415,ENSMUSG00000002871
416,ENSMUSG00000002881
417,ENSMUSG00000002885
418,ENSMUSG00000002897
419,ENSMUSG00000002900
420,ENSMUSG00000002908
421,ENSMUSG00000002910
422,ENSMUSG00000002944
423,ENSMUSG00000002948
424,ENSMUSG00000002949
425,ENSMUSG00000002957
426,ENSMUSG00000002963
427,ENSMUSG00000002968
428,ENSMUSG00000002980
429,ENSMUSG00000002981
430,ENSMUSG00000002983
431,ENSMUSG00000002984
432,ENSMUSG00000002985
433,ENSMUSG00000002992
434,ENSMUSG00000002996
435,ENSMUSG00000002997
436,ENSMUSG00000003031
437,ENSMUSG00000003032
438,ENSMUSG00000003033
439,ENSMUSG00000003037
440,ENSMUSG00000003038
441,ENSMUSG00000003039
442,ENSMUSG00000003051
443,ENSMUSG00000003053
444,ENSMUSG00000003062
445,ENSMUSG00000003068
446,ENSMUSG00000003070
447,ENSMUSG00000003072
448,ENSMUSG00000003099
449,ENSMUSG00000003119
450,ENSMUSG00000003123
451,ENSMUSG00000003131
452,ENSMUSG00000003134
453,ENSMUSG00000003135
454,ENSMUSG00000003153
455,ENSMUSG00000003154
456,ENSMUSG00000003161
457,ENSMUSG00000003166
458,ENSMUSG00000003184
459,ENSMUSG00000003190
460,ENSMUSG00000003198
461,ENSMUSG00000003199
462,ENSMUSG00000003200
463,ENSMUSG00000003206
464,ENSMUSG00000003208
465,ENSMUSG00000003226
466,ENSMUSG00000003228
467,ENSMUSG00000003233
468,ENSMUSG00000003234
469,ENSMUSG00000003235
470,ENSMUSG00000003269
471,ENSMUSG00000003273
472,ENSMUSG00000003279
473,ENSMUSG00000003282
474,ENSMUSG00000003283
475,ENSMUSG00000003299
476,ENSMUSG00000003308
477,ENSMUSG00000003309
478,ENSMUSG00000003316
479,ENSMUSG00000003344
480,ENSMUSG00000003345
481,ENSMUSG00000003346
482,ENSMUSG00000003348
483,ENSMUSG00000003352
484,ENSMUSG00000003355
485,ENSMUSG00000003360
486,ENSMUSG00000003363
487,ENSMUSG00000003378
488,ENSMUSG00000003379
489,ENSMUSG00000003380
490,ENSMUSG00000003382
491,ENSMUSG00000003402
492,ENSMUSG00000003418
493,ENSMUSG00000003420
494,ENSMUSG00000003421
495,ENSMUSG00000003423
496,ENSMUSG00000003429
497,ENSMUSG00000003435
498,ENSMUSG00000003437
499,ENSMUSG00000003438
500,ENSMUSG00000003444
501,ENSMUSG00000003452
502,ENSMUSG00000003458
503,ENSMUSG00000003464
504,ENSMUSG00000003476
505,ENSMUSG00000003477
506,ENSMUSG00000003484
507,ENSMUSG00000003500
508,ENSMUSG00000003518
509,ENSMUSG00000003526
510,ENSMUSG00000003527
511,ENSMUSG00000003528
512,ENSMUSG00000003531
513,ENSMUSG00000003534
514,ENSMUSG00000003541
515,ENSMUSG00000003545
516,ENSMUSG00000003546
517,ENSMUSG00000003549
518,ENSMUSG00000003555
519,ENSMUSG00000003559
520,ENSMUSG00000003573
521,ENSMUSG00000003575
522,ENSMUSG00000003581
523,ENSMUSG00000003585
524,ENSMUSG00000003604
525,ENSMUSG00000003617
526,ENSMUSG00000003623
527,ENSMUSG00000003644
528,ENSMUSG00000003660
529,ENSMUSG00000003662
530,ENSMUSG00000003680
531,ENSMUSG00000003721
532,ENSMUSG00000003731
533,ENSMUSG00000003746
534,ENSMUSG00000003752
535,ENSMUSG00000003762
536,ENSMUSG00000003778
537,ENSMUSG00000003779
538,ENSMUSG00000003808
539,ENSMUSG00000003809
540,ENSMUSG00000003810
541,ENSMUSG00000003812
542,ENSMUSG00000003813
543,ENSMUSG00000003814
544,ENSMUSG00000003824
545,ENSMUSG00000003847
546,ENSMUSG00000003848
547,ENSMUSG00000003849
548,ENSMUSG00000003865
549,ENSMUSG00000003868
550,ENSMUSG00000003873
551,ENSMUSG00000003882
552,ENSMUSG00000003923
553,ENSMUSG00000003929
554,ENSMUSG00000003934
555,ENSMUSG00000003948
556,ENSMUSG00000003949
557,ENSMUSG00000003955
558,ENSMUSG00000003970
559,ENSMUSG00000003992
560,ENSMUSG00000004018
561,ENSMUSG00000004032
562,ENSMUSG00000004035
563,ENSMUSG00000004038
564,ENSMUSG00000004040
565,ENSMUSG00000004043
566,ENSMUSG00000004044
567,ENSMUSG00000004054
568,ENSMUSG00000004056
569,ENSMUSG00000004069
570,ENSMUSG00000004070
571,ENSMUSG00000004071
572,ENSMUSG00000004085
573,ENSMUSG00000004096
574,ENSMUSG00000004098
575,ENSMUSG00000004099
576,ENSMUSG00000004100
577,ENSMUSG00000004105
578,ENSMUSG00000004110
579,ENSMUSG00000004127
580,ENSMUSG00000004151
581,ENSMUSG00000004187
582,ENSMUSG00000004207
583,ENSMUSG00000004221
584,ENSMUSG00000004233
585,ENSMUSG00000004263
586,ENSMUSG00000004264
587,ENSMUSG00000004266
588,ENSMUSG00000004267
589,ENSMUSG00000004268
590,ENSMUSG00000004270
591,ENSMUSG00000004285
592,ENSMUSG00000004296
593,ENSMUSG00000004317
594,ENSMUSG00000004319
595,ENSMUSG00000004328
596,ENSMUSG00000004341
597,ENSMUSG00000004347
598,ENSMUSG00000004356
599,ENSMUSG00000004359
600,ENSMUSG00000004364
601,ENSMUSG00000004383
602,ENSMUSG00000004393
603,ENSMUSG00000004394
604,ENSMUSG00000004446
605,ENSMUSG00000004451
606,ENSMUSG00000004455
607,ENSMUSG00000004460
608,ENSMUSG00000004462
609,ENSMUSG00000004473
610,ENSMUSG00000004500
611,ENSMUSG00000004508
612,ENSMUSG00000004530
613,ENSMUSG00000004535
614,ENSMUSG00000004552
615,ENSMUSG00000004558
616,ENSMUSG00000004561
617,ENSMUSG00000004562
618,ENSMUSG00000004565
619,ENSMUSG00000004567
620,ENSMUSG00000004568
621,ENSMUSG00000004591
622,ENSMUSG00000004609
623,ENSMUSG00000004610
624,ENSMUSG00000004612
625,ENSMUSG00000004626
626,ENSMUSG00000004631
627,ENSMUSG00000004633
628,ENSMUSG00000004637
629,ENSMUSG00000004642
630,ENSMUSG00000004655
631,ENSMUSG00000004661
632,ENSMUSG00000004665
633,ENSMUSG00000004667
634,ENSMUSG00000004677
635,ENSMUSG00000004698
636,ENSMUSG00000004707
637,ENSMUSG00000004709
638,ENSMUSG00000004730
639,ENSMUSG00000004748
640,ENSMUSG00000004768
641,ENSMUSG00000004771
642,ENSMUSG00000004788
643,ENSMUSG00000004789
644,ENSMUSG00000004798
645,ENSMUSG00000004814
646,ENSMUSG00000004815
647,ENSMUSG00000004837
648,ENSMUSG00000004843
649,ENSMUSG00000004846
650,ENSMUSG00000004849
651,ENSMUSG00000004864
652,ENSMUSG00000004865
653,ENSMUSG00000004880
654,ENSMUSG00000004891
655,ENSMUSG00000004895
656,ENSMUSG00000004896
657,ENSMUSG00000004897
658,ENSMUSG00000004929
659,ENSMUSG00000004931
660,ENSMUSG00000004933
661,ENSMUSG00000004934
662,ENSMUSG00000004936
663,ENSMUSG00000004937
664,ENSMUSG00000004945
665,ENSMUSG00000004947
666,ENSMUSG00000004951
667,ENSMUSG00000004952
668,ENSMUSG00000004980
669,ENSMUSG00000004994
670,ENSMUSG00000004996
671,ENSMUSG00000005034
672,ENSMUSG00000005043
673,ENSMUSG00000005054
674,ENSMUSG00000005057
675,ENSMUSG00000005069
676,ENSMUSG00000005078
677,ENSMUSG00000005087
678,ENSMUSG00000005089
679,ENSMUSG00000005102
680,ENSMUSG00000005103
681,ENSMUSG00000005107
682,ENSMUSG00000005124
683,ENSMUSG00000005125
684,ENSMUSG00000005131
685,ENSMUSG00000005142
686,ENSMUSG00000005148
687,ENSMUSG00000005150
688,ENSMUSG00000005161
689,ENSMUSG00000005198
690,ENSMUSG00000005204
691,ENSMUSG00000005220
692,ENSMUSG00000005225
693,ENSMUSG00000005233
694,ENSMUSG00000005237
695,ENSMUSG00000005251
696,ENSMUSG00000005262
697,ENSMUSG00000005267
698,ENSMUSG00000005268
699,ENSMUSG00000005299
700,ENSMUSG00000005312
701,ENSMUSG00000005320
702,ENSMUSG00000005338
703,ENSMUSG00000005354
704,ENSMUSG00000005360
705,ENSMUSG00000005362
706,ENSMUSG00000005370
707,ENSMUSG00000005371
708,ENSMUSG00000005373
709,ENSMUSG00000005374
710,ENSMUSG00000005378
711,ENSMUSG00000005397
712,ENSMUSG00000005410
713,ENSMUSG00000005413
714,ENSMUSG00000005417
715,ENSMUSG00000005442
716,ENSMUSG00000005447
717,ENSMUSG00000005465
718,ENSMUSG00000005469
719,ENSMUSG00000005470
720,ENSMUSG00000005481
721,ENSMUSG00000005483
722,ENSMUSG00000005501
723,ENSMUSG00000005505
724,ENSMUSG00000005506
725,ENSMUSG00000005510
726,ENSMUSG00000005514
727,ENSMUSG00000005533
728,ENSMUSG00000005534
729,ENSMUSG00000005540
730,ENSMUSG00000005547
731,ENSMUSG00000005553
732,ENSMUSG00000005566
733,ENSMUSG00000005575
734,ENSMUSG00000005580
735,ENSMUSG00000005583
736,ENSMUSG00000005609
737,ENSMUSG00000005610
738,ENSMUSG00000005611
739,ENSMUSG00000005615
740,ENSMUSG00000005621
741,ENSMUSG00000005625
742,ENSMUSG00000005628
743,ENSMUSG00000005656
744,ENSMUSG00000005667
745,ENSMUSG00000005672
746,ENSMUSG00000005674
747,ENSMUSG00000005677
748,ENSMUSG00000005681
749,ENSMUSG00000005682
750,ENSMUSG00000005683
751,ENSMUSG00000005686
752,ENSMUSG00000005687
753,ENSMUSG00000005696
754,ENSMUSG00000005698
755,ENSMUSG00000005699
756,ENSMUSG00000005716
757,ENSMUSG00000005718
758,ENSMUSG00000005732
759,ENSMUSG00000005763
760,ENSMUSG00000005774
761,ENSMUSG00000005779
762,ENSMUSG00000005800
763,ENSMUSG00000005802
764,ENSMUSG00000005803
765,ENSMUSG00000005804
766,ENSMUSG00000005813
767,ENSMUSG00000005823
768,ENSMUSG00000005824
769,ENSMUSG00000005836
770,ENSMUSG00000005846
771,ENSMUSG00000005871
772,ENSMUSG00000005873
773,ENSMUSG00000005881
774,ENSMUSG00000005882
775,ENSMUSG00000005886
776,ENSMUSG00000005893
777,ENSMUSG00000005897
778,ENSMUSG00000005899
779,ENSMUSG00000005907
780,ENSMUSG00000005936
781,ENSMUSG00000005947
782,ENSMUSG00000005949
783,ENSMUSG00000005950
784,ENSMUSG00000005951
785,ENSMUSG00000005952
786,ENSMUSG00000005958
787,ENSMUSG00000005968
788,ENSMUSG00000005973
789,ENSMUSG00000005980
790,ENSMUSG00000005981
791,ENSMUSG00000005982
792,ENSMUSG00000005983
793,ENSMUSG00000005986
794,ENSMUSG00000006005
795,ENSMUSG00000006010
796,ENSMUSG00000006014
797,ENSMUSG00000006019
798,ENSMUSG00000006021
799,ENSMUSG00000006024
800,ENSMUSG00000006050
801,ENSMUSG00000006057
802,ENSMUSG00000006058
803,ENSMUSG00000006095
804,ENSMUSG00000006127
805,ENSMUSG00000006134
806,ENSMUSG00000006154
807,ENSMUSG00000006169
808,ENSMUSG00000006191
809,ENSMUSG00000006205
810,ENSMUSG00000006215
811,ENSMUSG00000006218
812,ENSMUSG00000006219
813,ENSMUSG00000006221
814,ENSMUSG00000006235
815,ENSMUSG00000006241
816,ENSMUSG00000006262
817,ENSMUSG00000006273
818,ENSMUSG00000006276
819,ENSMUSG00000006281
820,ENSMUSG00000006288
821,ENSMUSG00000006289
822,ENSMUSG00000006299
823,ENSMUSG00000006301
824,ENSMUSG00000006304
825,ENSMUSG00000006307
826,ENSMUSG00000006310
827,ENSMUSG00000006315
828,ENSMUSG00000006333
829,ENSMUSG00000006335
830,ENSMUSG00000006342
831,ENSMUSG00000006344
832,ENSMUSG00000006345
833,ENSMUSG00000006356
834,ENSMUSG00000006360
835,ENSMUSG00000006362
836,ENSMUSG00000006369
837,ENSMUSG00000006373
838,ENSMUSG00000006378
839,ENSMUSG00000006386
840,ENSMUSG00000006390
841,ENSMUSG00000006392
842,ENSMUSG00000006398
843,ENSMUSG00000006403
844,ENSMUSG00000006411
845,ENSMUSG00000006412
846,ENSMUSG00000006418
847,ENSMUSG00000006423
848,ENSMUSG00000006435
849,ENSMUSG00000006442
850,ENSMUSG00000006445
851,ENSMUSG00000006456
852,ENSMUSG00000006457
853,ENSMUSG00000006462
854,ENSMUSG00000006463
855,ENSMUSG00000006464
856,ENSMUSG00000006471
857,ENSMUSG00000006476
858,ENSMUSG00000006494
859,ENSMUSG00000006498
860,ENSMUSG00000006517
861,ENSMUSG00000006519
862,ENSMUSG00000006522
863,ENSMUSG00000006526
864,ENSMUSG00000006527
865,ENSMUSG00000006529
866,ENSMUSG00000006538
867,ENSMUSG00000006567
868,ENSMUSG00000006574
869,ENSMUSG00000006575
870,ENSMUSG00000006576
871,ENSMUSG00000006585
872,ENSMUSG00000006586
873,ENSMUSG00000006587
874,ENSMUSG00000006589
875,ENSMUSG00000006599
876,ENSMUSG00000006611
877,ENSMUSG00000006641
878,ENSMUSG00000006642
879,ENSMUSG00000006649
880,ENSMUSG00000006651
881,ENSMUSG00000006673
882,ENSMUSG00000006675
883,ENSMUSG00000006676
884,ENSMUSG00000006678
885,ENSMUSG00000006699
886,ENSMUSG00000006705
887,ENSMUSG00000006711
888,ENSMUSG00000006715
889,ENSMUSG00000006717
890,ENSMUSG00000006720
891,ENSMUSG00000006728
892,ENSMUSG00000006731
893,ENSMUSG00000006732
894,ENSMUSG00000006736
895,ENSMUSG00000006740
896,ENSMUSG00000006763
897,ENSMUSG00000006777
898,ENSMUSG00000006782
899,ENSMUSG00000006784
900,ENSMUSG00000006800
901,ENSMUSG00000006818
902,ENSMUSG00000006850
903,ENSMUSG00000006906
904,ENSMUSG00000006920
905,ENSMUSG00000006930
906,ENSMUSG00000006931
907,ENSMUSG00000006932
908,ENSMUSG00000006941
909,ENSMUSG00000006958
910,ENSMUSG00000006998
911,ENSMUSG00000007021
912,ENSMUSG00000007029
913,ENSMUSG00000007030
914,ENSMUSG00000007033
915,ENSMUSG00000007034
916,ENSMUSG00000007035
917,ENSMUSG00000007036
918,ENSMUSG00000007038
919,ENSMUSG00000007039
920,ENSMUSG00000007041
921,ENSMUSG00000007050
922,ENSMUSG00000007080
923,ENSMUSG00000007097
924,ENSMUSG00000007107
925,ENSMUSG00000007122
926,ENSMUSG00000007207
927,ENSMUSG00000007216
928,ENSMUSG00000007338
929,ENSMUSG00000007379
930,ENSMUSG00000007411
931,ENSMUSG00000007415
932,ENSMUSG00000007458
933,ENSMUSG00000007476
934,ENSMUSG00000007564
935,ENSMUSG00000007570
936,ENSMUSG00000007589
937,ENSMUSG00000007591
938,ENSMUSG00000007594
939,ENSMUSG00000007603
940,ENSMUSG00000007610
941,ENSMUSG00000007613
942,ENSMUSG00000007617
943,ENSMUSG00000007646
944,ENSMUSG00000007655
945,ENSMUSG00000007656
946,ENSMUSG00000007659
947,ENSMUSG00000007670
948,ENSMUSG00000007721
949,ENSMUSG00000007739
950,ENSMUSG00000007777
951,ENSMUSG00000007783
952,ENSMUSG00000007805
953,ENSMUSG00000007812
954,ENSMUSG00000007815
955,ENSMUSG00000007817
956,ENSMUSG00000007827
957,ENSMUSG00000007833
958,ENSMUSG00000007836
959,ENSMUSG00000007837
960,ENSMUSG00000007850
961,ENSMUSG00000007867
962,ENSMUSG00000007872
963,ENSMUSG00000007877
964,ENSMUSG00000007880
965,ENSMUSG00000007891
966,ENSMUSG00000007892
967,ENSMUSG00000007908
968,ENSMUSG00000007950
969,ENSMUSG00000007987
970,ENSMUSG00000007989
971,ENSMUSG00000008035
972,ENSMUSG00000008036
973,ENSMUSG00000008090
974,ENSMUSG00000008129
975,ENSMUSG00000008136
976,ENSMUSG00000008140
977,ENSMUSG00000008153
978,ENSMUSG00000008167
979,ENSMUSG00000008193
980,ENSMUSG00000008200
981,ENSMUSG00000008206
982,ENSMUSG00000008226
983,ENSMUSG00000008301
984,ENSMUSG00000008305
985,ENSMUSG00000008307
986,ENSMUSG00000008318
987,ENSMUSG00000008333
988,ENSMUSG00000008348
989,ENSMUSG00000008373
990,ENSMUSG00000008384
991,ENSMUSG00000008393
992,ENSMUSG00000008398
993,ENSMUSG00000008429
994,ENSMUSG00000008435
995,ENSMUSG00000008438
996,ENSMUSG00000008450
997,ENSMUSG00000008461
