Source Name	Sample Name	Comment[LSDA Source Name]	Comment[LSDA Biospecimen Subject ID]	Comment[LSDA Biospecimen ID]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Parameter Value[Habitat]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Chemical]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Comment[Launch Date]	Comment[Euthanasia Date]	Parameter Value[Sample Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
B1	Mmus_C57-6J_LVR_BSL_C1_Rep1_B1	906	586	6140	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Basal Control			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	28.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	15-Aug-17	33.8	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B2	Mmus_C57-6J_LVR_BSL_C1_Rep2_B2	6C2B	586	6140	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Basal Control			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	27.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	15-Aug-17	34.9	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B3	Mmus_C57-6J_LVR_BSL_C1_Rep3_B3	4A22	586	6140	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Basal Control			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	25.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	15-Aug-17	20.2	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
B4	Mmus_C57-6J_LVR_BSL_C1_Rep4_B4	6E21	586	6140	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Basal Control			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	26.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	15-Aug-17	24.1	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
FViv1	Mmus_C57-6J_LVR_CC_C1_Rep1_C1-1	1	587	5837	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #1			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	26.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	22-Sep-17	27.4	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
FViv2	Mmus_C57-6J_LVR_CC_C1_Rep2_C1-2	2	587	5837	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #1			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	30.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	22-Sep-17	23.6	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
FViv3	Mmus_C57-6J_LVR_CC_C1_Rep3_C1-3	3	587	5837	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #1			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	28.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	22-Sep-17	26.3	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
FViv4	Mmus_C57-6J_LVR_CC_C1_Rep4_C1-4	4	587	5837	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #1			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	32.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	22-Sep-17	19.3	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
FViv5	Mmus_C57-6J_LVR_CC_C1_Rep5_C1-5	5	587	5837	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #1			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	30.3	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	22-Sep-17	23.2	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
CC1	Mmus_C57-6J_LVR_CC_C2_Rep1_C2-1	1	589	6297	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #2			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	28.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	24-Jun-18	32.4	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
