Source Name	Sample Name	Comment[LSDA Source Name]	Comment[LSDA Biospecimen Subject ID]	Comment[LSDA Biospecimen ID]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Comment[Animal Source]	Characteristics[Age at Launch]	Unit	Term Source REF	Term Accession Number	Characteristics[sex]	Term Source REF	Term Accession Number	Characteristics[Diet]	Term Source REF	Term Accession Number	Comment[Feeding Schedule]	Characteristics[Material Type]	Term Source REF	Term Accession Number	Protocol REF	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Parameter Value[Habitat]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Euthanasia Chemical]	Term Source REF	Term Accession Number	Parameter Value[Carcass Weight]	Unit	Term Source REF	Term Accession Number	Comment[Launch Date]	Comment[Euthanasia Date]	Parameter Value[Sample Weight]	Unit	Term Source REF	Term Accession Number	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
CC2	Mmus_C57-6J_LVR_CC_C2_Rep2_C2-2	2	589	6297	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #2			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	29.7	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	24-Jun-18	21.5	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
CC3	Mmus_C57-6J_LVR_CC_C2_Rep3_C2-3	3	589	6297	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #2			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	28.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	24-Jun-18	29.6	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
CC4	Mmus_C57-6J_LVR_CC_C2_Rep4_C2-4	4	589	6297	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Standard Chow			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Cohort Control #2			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	28.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	24-Jun-18	19.6	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F1	Mmus_C57-6J_LVR_FLT_C1_Rep1_F1	647C	584	5778	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	23.9	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	18-Sep-17	22.1	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F2	Mmus_C57-6J_LVR_FLT_C1_Rep2_F2	7761	584	5778	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	25.1	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	18-Sep-17	32.4	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F3	Mmus_C57-6J_LVR_FLT_C1_Rep3_F3	635E	584	5778	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	27.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	18-Sep-17	23.3	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F4	Mmus_C57-6J_LVR_FLT_C1_Rep4_F4	2C38	584	5778	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	24.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	18-Sep-17	21.5	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
F5	Mmus_C57-6J_LVR_FLT_C1_Rep5_F5	305C	584	5778	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	26.5	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-Aug-17	18-Sep-17	20.2	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
GC1	Mmus_C57-6J_LVR_GC_C2_Rep1_G1	2128	585	6295	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Ground Control			Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	33.6	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	18-Jun-18	26.4	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
GC3	Mmus_C57-6J_LVR_GC_C2_Rep2_G3	4578	585	6295	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Ground Control			Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	30.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	18-Jun-18	19.2	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
GC4	Mmus_C57-6J_LVR_GC_C2_Rep3_G4	2872	585	6295	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Ground Control			Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	30.2	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	18-Jun-18	25.3	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
GC5	Mmus_C57-6J_LVR_GC_C2_Rep4_G5	7A69	585	6295	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Ground Control			Rodent Habitat			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	31.8	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	18-Jun-18	32.4	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
Viv3	Mmus_C57-6J_LVR_VIV_C2_Rep1_V3	687C	590	6299	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	Jackson Laboratory	10	week	UO	http://purl.obolibrary.org/obo/UO_0000034	male	EFO	http://purl.obolibrary.org/obo/PATO_0000384	Nutrient Upgraded Rodent Food Bar(NuRFB)			ad libitum	liver	UBERON	http://purl.obolibrary.org/obo/UBERON_0002107	animal husbandry	Vivarium Control			Vivarium Cage			sample collection	Carbon Dioxide	MESH	http://purl.bioontology.org/ontology/MESH/D002245	26.4	gram	UO	http://purl.obolibrary.org/obo/UO_0000021	14-May-18	18-Jun-18	22.5	milligram	UO	http://purl.obolibrary.org/obo/UO_0000022	Liquid Nitrogen	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68796	-80	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
